,,,Población de 3 a 21 años que no asiste a la escuela y no cuenta con educación obligatoria1 ,,,,Población de 22 años o más nacida a partir de 1998 sin educación media superior completa2,,Población de 16 años o más nacida entre 1982 y 1997 sin secundaria completa,,,,,Población de 16 años o más nacida antes de 1982 sin primaria completa,,,,,Población sin educación obligatoria3,,,,,,,,,,Población de 3 a 21 años que no asiste a la escuela y no cuenta con educación obligatoria1,,,,Población de 22 años o más nacida a partir de 1998 sin educación media superior completa2,,Población de 16 años o más nacida entre 1982 y 1997 sin secundaria completa,,,,,Población de 16 años o más nacida antes de 1982 sin primaria completa,,,,,Población sin educación obligatoria3,,,,,,,,
,,,,,,,,,,,,,,,,,,,Tasa de inasistencia para la población de 3 a 15 años,,,,,Tasa de inasistencia para la población de 16 a 21 años,,,,,,,,,,,,,,,,,,,,,Tasa de inasistencia para la población de 3 a 15 años,,,,,Tasa de inasistencia para la población de 16 a 21 años,,,
,,,2016,2018,2020,2022**,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**
,,Querétaro,13.1,16.6,17.5,17.4,35.8,,14.0,14.3,14.0,13.0,,20.4,22.5,19.1,19.9,,8.0,9.4,9.8,9.4,,37.7,49.8,54.4,58.6,,83.0,127.0,139.3,135.1,50.6,,78.4,83.3,80.4,79.0,,176.2,189.8,172.3,171.1,,40.1,50.6,53.1,50.0,,42.9,76.4,86.2,85.1
,,Quintana Roo,12.8,15.4,15.7,13.6,31.3,,14.1,14.8,13.6,13.0,,22.1,22.5,22.8,21.0,,9.4,8.6,9.4,8.7,,33.3,48.8,49.2,44.4,,63.7,89.7,95.2,81.9,30.9,,67.4,77.4,65.9,62.8,,140.5,140.1,154.2,141.1,,37.7,36.4,39.1,34.9,,26.0,53.3,56.1,47.1
,,San Luis Potosí,10.9,14.6,14.8,16.8,37.9,,16.4,14.6,15.1,15.3,,28.3,29.2,26.8,27.1,,6.0,6.6,6.8,7.3,,39.8,49.2,54.2,64.8,,93.1,138.8,144.7,157.5,54.5,,110.6,90.6,93.1,96.2,,314.3,322.5,292.8,282.3,,41.9,44.6,45.4,47.3,,51.2,94.2,99.3,110.2
,,Sinaloa,10.1,11.6,11.4,12.9,23.9,,13.8,14.7,12.5,12.8,,24.4,26.4,24.6,23.4,,7.2,6.7,7.0,7.5,,27.3,41.4,41.3,46.7,,88.0,108.6,111.3,124.9,37.3,,95.7,103.8,81.4,84.9,,301.4,324.2,305.9,278.0,,50.2,44.8,44.8,48.3,,37.8,63.8,66.5,76.6
,,Sonora,11.5,16.2,17.5,14.6,36.1,,9.6,8.9,9.3,9.6,,18.5,16.7,18.4,16.0,,8.3,8.8,10.9,8.7,,29.2,50.1,52.5,51.3,,95.0,150.6,165.8,137.0,51.2,,64.0,59.2,60.4,62.6,,222.5,197.8,218.7,185.9,,55.8,56.6,67.9,54.8,,39.2,94.0,97.8,82.2
,,Tabasco,9.7,11.0,10.7,12.1,34.7,,12.9,14.5,13.6,12.9,,29.2,28.7,24.9,26.5,,5.3,5.1,5.4,6.2,,34.6,42.2,40.5,48.1,,69.8,88.2,88.2,99.5,39.0,,76.6,80.7,75.7,70.6,,264.7,257.4,226.4,228.9,,31.2,30.2,30.5,35.6,,38.6,58.0,57.8,63.9
,,Tamaulipas,13.3,13.3,15.6,16.4,28.1,,11.3,11.5,10.9,9.8,,21.1,22.6,19.5,19.4,,10.2,8.7,11.2,10.6,,30.9,41.5,47.1,48.3,,131.4,147.1,179.5,183.4,50.2,,89.7,92.3,86.7,75.6,,311.0,321.8,270.1,268.4,,82.0,68.1,92.1,80.6,,49.4,79.0,87.4,102.8
,,Tlaxcala,11.0,15.4,15.2,13.0,37.5,,13.4,14.3,13.2,14.5,,19.2,19.4,19.5,19.3,,7.3,7.8,7.3,7.7,,34.1,50.9,54.2,46.1,,44.8,68.6,70.6,61.0,24.4,,43.2,45.3,42.2,47.7,,92.6,93.5,94.0,88.2,,24.5,24.0,22.6,25.1,,20.4,44.6,48.0,35.9
,,Veracruz de Ignacio de la Llave,13.3,15.4,18.9,15.6,36.2,,26.7,25.6,26.6,22.7,,39.0,38.1,37.5,35.7,,9.5,9.4,13.0,9.8,,34.1,46.3,51.5,48.8,,315.0,400.7,497.7,399.9,123.8,,490.8,449.9,474.3,396.9,,"1,264.9","1,244.6","1,236.4","1,171.7",,184.4,175.6,231.1,173.1,,130.5,225.1,266.6,226.8
,,Yucatán,11.6,13.5,15.8,12.3,42.2,,17.9,16.7,16.3,18.4,,33.3,33.3,31.7,29.3,,5.8,6.0,6.9,5.4,,38.9,44.0,53.3,45.1,,71.8,95.0,115.3,89.2,49.9,,98.8,95.3,92.2,102.1,,301.8,296.3,289.5,262.4,,28.6,29.2,33.9,26.8,,43.2,65.7,81.4,62.4
,,Zacatecas,12.1,17.2,20.0,16.8,43.3,,15.6,14.8,14.6,16.4,,29.2,30.5,29.3,26.5,,7.0,8.3,11.6,9.6,,42.6,56.3,64.1,57.7,,60.3,92.5,111.6,97.6,34.8,,56.2,54.4,49.9,54.2,,190.9,189.5,184.7,153.5,,28.7,33.0,45.8,39.8,,31.5,59.6,65.8,57.8
,,Estados Unidos Mexicanos,12.3,15.6,16.7,15.9,36.7,,17.3,16.7,16.0,16.6,,25.8,25.3,24.3,23.7,,8.1,8.9,9.9,9.2,,35.9,47.6,51.7,52.1,,"4,465.7","6,281.9","6,889.9","6,567.8","2,341.2",,"5,110.6","4,921.6","4,655.7","4,840.5",,"12,722.6","12,321.8","12,007.0","11,307.2",,"2,394.2","2,569.4","2,757.9","2,595.1",,"2,071.5","3,712.5","4,131.9","3,972.8"
"*De acuerdo con los Lineamientos y criterios generales para la definición, identificación y medición de la pobreza (2018) que se pueden consultar en el Diario Oficial de la Federación (https://www.dof.gob.mx/nota_detalle.php?codigo=5542421&fecha=30/10/2018) y la Metodología para la medición multidimensional de la pobreza en México, tercera edición (https://www.coneval.org.mx/InformesPublicaciones/InformesPublicaciones/Documents/Metodologia-medicion-multidimensional-3er-edicion.pdf).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 Solo se considera a la población nacida a partir de 1998.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2 Para este indicador, sólo se presenta información para 2022.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 Se considera a la población sin educación obligatoria (media superior) y nacida de 1998 en adelante.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fuente: estimaciones del CONEVAL con base en la ENIGH 2016, 2018, 2020 y 2022 del INEGI.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nota: se utilizan las bases de datos que publicó el INEGI con las proyecciones poblacionales construidas con base en el Marco de Muestreo de Viviendas y los resultados del Censo de Población y Vivienda 2020.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"**Para un mejor análisis de la información 2022, consultar las notas técnicas: https://www.coneval.org.mx/Medicion/MP/Paginas/Notas_pobreza_2022.aspx",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
