,,,Población de 5 años o menos1 ,,,,,,,,,,,,,,,Población de 6 a 11 años,,,,,,,,,,,,,,,Población de 12 a 17 años,,,,,,,,,,,,,,,Población de 18 a 29 años,,,,,,,,,,,,,,,Población de 30 a 64 años,,,,,,,,,,,,,,,Población de 65 años o más,,,,,,,,,,,,,
,,,Porcentaje,,,,,Miles de personas,,,,,Carencias promedio,,,,,Porcentaje,,,,,Miles de personas,,,,,Carencias promedio,,,,,Porcentaje,,,,,Miles de personas,,,,,Carencias promedio,,,,,Porcentaje,,,,,Miles de personas,,,,,Carencias promedio,,,,,Porcentaje,,,,,Miles de personas,,,,,Carencias promedio,,,,,Porcentaje,,,,,Miles de personas,,,,,Carencias promedio,,,
,,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**
,,Nuevo León,26.9,28.7,34.2,22.9,,139.7,122.4,158.9,91.3,,1.8,1.6,2.0,2.0,,23.5,25.2,31.4,22.5,,130.9,139.4,153.5,119.9,,1.8,1.5,1.9,2.0,,18.6,22.9,31.6,21.6,,109.4,139.6,175.8,132.6,,2.0,1.6,1.9,1.9,,17.0,17.7,23.3,15.7,,174.4,187.0,268.6,194.0,,1.9,1.9,2.2,2.3,,15.7,14.7,20.6,13.2,,347.6,353.6,523.3,353.7,,1.9,1.7,1.9,2.0,,24.1,27.1,22.3,13.2,,96.0,124.4,144.9,80.1,,1.8,1.5,1.6,1.7
,,Oaxaca,74.9,71.7,70.6,67.3,,323.7,297.1,278.9,270.8,,2.9,2.8,3.0,3.2,,76.4,72.7,69.4,66.7,,380.4,338.5,326.7,309.2,,2.7,2.7,2.8,3.2,,71.9,66.7,65.3,61.2,,338.3,326.3,302.1,293.3,,2.8,2.9,3.1,3.3,,64.2,61.1,60.1,56.7,,436.3,407.2,466.1,406.7,,3.0,2.9,3.1,3.4,,63.3,58.7,57.9,54.3,,943.1,911.6,950.3,929.2,,2.9,2.9,3.1,3.4,,69.6,71.2,58.2,57.5,,238.5,294.6,245.8,274.4,,3.3,3.2,3.3,3.4
,,Puebla,70.6,68.3,69.6,66.3,,445.8,471.7,438.6,386.1,,2.1,2.2,2.4,2.6,,67.9,64.9,71.1,64.7,,497.6,484.2,505.6,516.3,,2.0,2.0,2.2,2.5,,65.3,61.6,69.0,58.2,,530.5,471.9,508.6,457.1,,2.2,2.2,2.4,2.6,,53.8,55.7,62.2,50.2,,678.1,707.8,827.4,629.3,,2.4,2.3,2.5,2.8,,53.4,53.1,58.7,49.9,,"1,286.4","1,324.0","1,553.9","1,361.1",,2.3,2.3,2.6,2.7,,49.4,58.4,53.2,48.8,,236.1,296.8,302.5,277.0,,2.6,2.7,2.7,2.7
,,Querétaro,36.1,36.5,40.9,28.9,,74.3,83.4,83.4,59.2,,1.8,1.8,2.0,2.1,,40.3,32.1,42.5,27.9,,95.7,79.1,102.2,70.8,,1.7,1.8,1.8,2.0,,33.3,30.0,35.9,25.6,,81.1,77.3,97.1,61.6,,2.0,1.9,2.0,2.2,,24.6,23.7,27.1,18.8,,110.7,113.6,129.1,97.0,,2.1,2.0,2.2,2.3,,26.3,21.9,28.1,19.1,,230.9,201.9,283.6,202.5,,2.0,2.0,2.0,2.2,,33.4,30.9,28.4,22.7,,47.5,49.1,55.0,45.8,,2.2,2.3,2.1,2.2
,,Quintana Roo,38.6,41.2,56.4,36.6,,68.4,72.3,90.4,50.6,,2.4,2.2,2.3,2.6,,40.9,39.3,57.9,34.9,,82.7,80.9,113.3,64.5,,2.1,2.2,2.2,2.5,,38.8,37.1,54.4,34.3,,66.9,68.5,109.1,70.4,,2.4,2.3,2.4,2.4,,26.7,24.5,45.3,21.9,,100.6,97.5,177.2,84.2,,2.3,2.6,2.5,2.6,,27.0,25.9,42.9,24.4,,185.0,198.2,353.3,213.1,,2.3,2.4,2.4,2.6,,40.3,36.4,45.2,25.9,,34.3,28.9,49.5,34.1,,2.4,2.9,2.4,2.4
,,San Luis Potosí,51.1,47.1,52.6,44.9,,142.3,127.3,130.0,111.7,,2.0,1.9,2.1,2.5,,51.5,50.7,47.4,46.0,,159.8,154.2,135.7,142.5,,2.0,1.9,2.0,2.3,,49.8,45.3,46.8,38.8,,168.3,160.7,162.7,115.2,,2.1,2.1,2.2,2.7,,39.9,35.9,37.9,31.1,,221.4,188.0,204.3,174.4,,2.2,2.1,2.4,2.8,,39.8,38.2,39.9,32.0,,415.9,417.0,449.0,372.2,,2.3,2.2,2.3,2.7,,47.5,51.1,45.8,35.3,,110.2,132.4,132.2,104.4,,2.5,2.5,2.7,2.6
,,Sinaloa,39.9,39.6,35.5,30.2,,117.4,109.1,90.8,72.0,,2.2,2.1,2.1,2.5,,38.0,38.1,35.1,29.8,,121.3,114.6,104.4,90.2,,1.9,2.0,2.0,2.2,,32.7,35.7,31.3,26.5,,109.5,115.1,99.8,84.4,,2.1,2.0,2.1,2.4,,28.5,28.7,27.6,20.5,,159.5,174.1,159.0,123.7,,2.3,2.2,2.3,2.4,,25.6,27.0,24.9,18.2,,301.2,325.4,320.9,237.2,,2.1,2.2,2.1,2.4,,34.2,31.6,26.0,18.7,,86.8,89.6,78.9,60.7,,2.0,2.2,1.9,2.0
,,Sonora,33.2,39.1,41.8,30.9,,95.2,105.2,98.7,67.5,,2.1,2.0,2.1,2.1,,33.7,31.8,39.0,29.3,,107.8,93.9,114.6,90.0,,1.9,1.9,1.9,2.0,,32.3,30.9,33.7,26.9,,103.6,102.1,105.1,82.2,,2.0,2.1,2.1,2.3,,24.3,25.6,29.2,20.0,,126.8,143.7,166.3,113.6,,2.1,2.1,2.4,2.4,,23.0,22.3,25.7,18.6,,268.8,270.2,321.8,242.4,,2.1,2.0,2.1,2.2,,29.3,25.1,26.6,18.4,,65.8,59.0,78.5,54.6,,2.0,2.0,2.0,2.1
,,Tabasco,63.9,62.2,63.8,58.5,,152.6,149.0,133.6,122.7,,2.3,2.5,2.6,3.1,,64.8,62.1,63.3,58.2,,176.1,170.2,164.2,156.6,,2.3,2.4,2.5,2.8,,59.9,62.5,61.4,52.0,,166.9,169.7,173.4,142.4,,2.6,2.5,2.6,3.0,,51.0,54.7,51.9,44.0,,229.6,241.2,223.5,191.1,,2.6,2.6,2.7,3.1,,47.1,51.4,50.9,41.9,,445.2,500.2,530.3,441.0,,2.6,2.6,2.7,3.0,,57.5,61.5,47.2,40.3,,85.5,102.9,91.1,81.2,,3.1,3.0,2.7,2.7
,,Tamaulipas,39.2,43.8,44.7,33.5,,135.1,142.8,140.8,97.5,,1.9,1.8,2.0,2.0,,35.6,38.0,39.9,33.3,,129.0,144.6,151.9,119.6,,1.8,1.7,1.8,2.1,,37.6,42.7,38.7,31.1,,150.4,154.0,149.0,117.4,,1.9,1.8,2.0,2.3,,29.7,29.8,33.6,26.4,,180.5,194.1,208.4,176.1,,2.0,2.0,2.0,2.3,,27.9,30.4,31.9,23.3,,402.7,433.1,482.2,356.1,,1.9,1.8,1.9,2.2,,37.5,39.3,32.0,26.0,,99.6,136.8,101.6,95.9,,2.0,1.9,1.8,2.1
