,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuadro 26F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medición multidimensional de la pobreza*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Porcentaje y número de personas en los componentes de carencia por acceso a la alimentación nutritiva y de calidad, según entidad federativa, 2016 - 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Entidad Federativa,Carencia por acceso a la alimentación nutritiva y de calidad1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Porcentaje ,,,,,,,,,,,,,,,,,,,,,,,,,Miles de personas ,,,,,,,,,,,,,,,,,,,,,,,
,,,Seguridad alimentaria,,,,,Inseguridad alimentaria leve,,,,,Inseguridad alimentaria moderada,,,,,Inseguridad alimentaria severa,,,,,Limitación en el consumo de alimentos2,,,,,Seguridad alimentaria,,,,,Inseguridad alimentaria leve,,,,,Inseguridad alimentaria moderada,,,,,Inseguridad alimentaria severa,,,,,Limitación en el consumo de alimentos2,,,
,,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**
,,Sonora,63.3,62.9,60.6,65.1,,15.7,15.6,17.3,15.7,,10.7,11.8,11.2,10.4,,10.3,9.8,10.9,8.8,,0.7,1.3,0.8,1.2,,"1,799.8","1,825.8","1,792.0","1,951.7",,447.6,452.6,512.2,470.0,,303.1,341.4,332.3,312.7,,293.1,283.8,321.2,263.8,,21.2,38.4,22.9,34.6
,,Tabasco,34.1,34.4,41.5,47.6,,20.6,18.8,17.7,18.0,,21.4,22.5,19.5,16.5,,23.9,24.3,21.4,17.9,,10.0,11.4,8.6,10.4,,795.4,813.7,"1,002.0","1,162.8",,480.8,445.5,426.8,439.9,,498.5,532.6,471.0,403.2,,557.8,574.0,516.0,436.3,,233.9,269.0,207.3,254.5
,,Tamaulipas,60.4,68.9,71.1,73.6,,20.3,14.4,15.0,14.3,,12.7,9.9,7.5,7.4,,6.6,6.9,6.4,4.7,,1.0,0.9,0.4,0.8,,"2,069.4","2,403.5","2,510.9","2,639.6",,696.2,501.8,529.6,512.9,,433.5,344.8,266.4,266.9,,225.6,239.0,224.4,169.3,,34.0,31.1,15.2,28.6
,,Tlaxcala,55.0,57.5,47.1,59.4,,22.9,22.2,25.8,21.9,,13.8,12.8,15.9,10.4,,8.3,7.4,11.3,8.4,,5.9,7.2,11.8,8.6,,698.8,750.7,635.6,813.8,,291.1,289.8,347.7,300.0,,175.8,167.1,214.1,142.2,,105.9,97.0,152.7,114.6,,75.1,93.4,158.8,118.2
,,Veracruz de Ignacio de la Llave,51.6,45.0,49.2,57.2,,26.2,28.1,27.6,22.9,,12.6,15.8,13.8,12.1,,9.6,11.2,9.3,7.8,,2.8,3.4,3.1,3.1,,"4,046.6","3,570.7","3,990.4","4,695.3",,"2,054.2","2,227.4","2,238.2","1,881.0",,990.9,"1,252.1","1,120.1",989.8,,751.2,890.3,756.1,638.9,,219.5,268.9,248.3,250.9
,,Yucatán,60.7,60.3,54.0,68.6,,20.0,20.3,23.1,17.8,,12.6,13.1,15.4,9.4,,6.7,6.3,7.5,4.2,,4.4,3.0,3.3,2.7,,"1,321.2","1,358.8","1,262.0","1,627.7",,435.9,457.5,540.5,423.6,,274.8,295.2,359.4,222.7,,144.9,142.1,175.9,99.4,,96.8,67.9,78.3,63.3
,,Zacatecas,65.9,63.4,62.9,68.0,,19.0,19.9,20.6,16.3,,8.6,9.9,8.8,8.3,,6.4,6.7,7.6,7.5,,1.7,1.4,1.7,1.6,,"1,051.4","1,025.0","1,025.4","1,115.8",,302.9,321.8,336.1,267.3,,137.7,160.2,143.5,135.5,,102.5,108.5,124.4,122.6,,27.4,23.3,27.0,26.7
,,Estados Unidos Mexicanos,59.5,60.5,57.8,66.1,,20.6,19.2,21.5,17.7,,11.9,12.0,12.7,9.9,,8.1,8.3,8.1,6.4,,3.5,3.5,3.6,3.5,,"71,817.6","74,863.8","73,245.8","85,185.8",,"24,857.9","23,815.5","27,205.1","22,778.2",,"14,347.8","14,885.7","16,056.3","12,734.2",,"9,770.8","10,262.1","10,235.1","8,189.4",,"4,269.8","4,374.1","4,594.2","4,457.1"
"*De acuerdo con los Lineamientos y criterios generales para la definición, identificación y medición de la pobreza (2018) que se pueden consultar en el Diario Oficial de la Federación (https://www.dof.gob.mx/nota_detalle.php?codigo=5542421&fecha=30/10/2018) y la Metodología para la medición multidimensional de la pobreza en México, tercera edición (https://www.coneval.org.mx/InformesPublicaciones/InformesPublicaciones/Documents/Metodologia-medicion-multidimensional-3er-edicion.pdf).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1 Se presentan los niveles de inseguridad alimentaria de la Escala Mexicana de Seguridad Alimentaria (EMSA), así como la limitación de consumo de alimentos de acuerdo con el Programa Mundial de Alimentos (PMA) de la Organización de las Naciones Unidas.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2 La limitación en el consumo de alimentos de los hogares hace referencia a aquellos en que sus integrantes tuvieron una dieta pobre o limítrofe, considerando la frecuencia de consumo y la diversidad de la dieta de doce grupos de alimentos, para aproximar la adecuación de nutrientes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fuente: estimaciones del CONEVAL con base en la ENIGH 2016, 2018, 2020 y 2022 del INEGI.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nota: se utilizan las bases de datos que publicó el INEGI con las proyecciones poblacionales construidas con base en el Marco de Muestreo de Viviendas y los resultados del Censo de Población y Vivienda 2020.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"**Para un mejor análisis de la información 2022, consultar las notas técnicas: https://www.coneval.org.mx/Medicion/MP/Paginas/Notas_pobreza_2022.aspx",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
