federativa",Población jóven1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Población menor de 18 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Población de 65 años o más,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Población entre 12 y 29 años,,,,,,,,,,,,,,,Población de 11 años o menos y de 30 años o más,,,,,,,,,,,,,,,Población menor de 18 años,,,,,,,,,,,,,,,Población de 18 años o más,,,,,,,,,,,,,,,Población de 65 años o más,,,,,,,,,,,,,,,Población menor de 65 años,,,,,,,,,,,,,
,,,Porcentaje,,,,,Miles de personas,,,,,Carencias promedio,,,,,Porcentaje,,,,,Miles de personas,,,,,Carencias promedio,,,,,Porcentaje,,,,,Miles de personas,,,,,Carencias promedio,,,,,Porcentaje,,,,,Miles de personas,,,,,Carencias promedio,,,,,Porcentaje,,,,,Miles de personas,,,,,Carencias promedio,,,,,Porcentaje,,,,,Miles de personas,,,,,Carencias promedio,,,
,,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**,,2016,2018,2020,2022**
,,Nayarit,37.5,35.9,31.9,29.9,,132.1,129.4,117.0,108.2,,2.3,2.3,2.3,2.7,,38.4,35.7,29.8,29.1,,317.9,307.1,259.6,261.7,,2.2,2.2,2.1,2.5,,44.4,43.2,37.2,38.6,,176.8,176.5,136.3,150.0,,2.2,2.3,2.2,2.6,,34.9,32.0,27.6,25.2,,273.3,260.1,240.3,219.9,,2.3,2.2,2.2,2.6,,42.3,35.5,24.1,22.3,,42.1,41.2,30.6,29.1,,2.5,2.1,2.0,2.2,,37.7,35.7,31.1,30.1,,408.0,395.3,346.0,340.9,,2.2,2.3,2.2,2.6
,,Nuevo León,17.6,19.6,26.0,17.7,,283.8,326.6,444.4,326.6,,1.9,1.8,2.1,2.2,,19.4,19.3,23.6,15.3,,714.2,739.9,980.6,645.1,,1.8,1.6,1.9,1.9,,22.8,25.3,32.3,22.3,,379.9,401.4,488.2,343.8,,1.8,1.6,1.9,2.0,,17.0,17.0,21.6,13.9,,618.0,665.1,936.8,627.9,,1.9,1.7,2.0,2.0,,24.1,27.1,22.3,13.2,,96.0,124.4,144.9,80.1,,1.8,1.5,1.6,1.7,,18.4,18.7,24.6,16.4,,901.9,942.1,"1,280.1",891.6,,1.9,1.7,2.0,2.1
,,Oaxaca,67.3,63.5,62.1,58.5,,774.7,733.5,768.1,700.1,,2.9,2.9,3.1,3.4,,68.2,64.7,61.5,58.4,,"1,885.8","1,841.8","1,801.7","1,783.6",,2.9,2.9,3.1,3.3,,74.5,70.2,68.3,64.9,,"1,042.5",961.9,907.7,873.3,,2.8,2.8,2.9,3.2,,64.4,61.3,58.5,55.4,,"1,618.0","1,613.4","1,662.2","1,610.4",,3.0,3.0,3.1,3.4,,69.6,71.2,58.2,57.5,,238.5,294.6,245.8,274.4,,3.3,3.2,3.3,3.4,,67.8,63.5,62.0,58.6,,"2,422.0","2,280.7","2,324.0","2,209.2",,2.9,2.9,3.1,3.3
,,Puebla,58.3,57.9,64.6,53.3,,"1,208.7","1,179.7","1,336.0","1,086.4",,2.3,2.3,2.5,2.7,,58.0,58.1,61.4,54.3,,"2,465.8","2,576.6","2,800.6","2,540.5",,2.2,2.3,2.5,2.6,,67.7,64.8,69.9,62.8,,"1,473.9","1,427.8","1,452.7","1,359.6",,2.1,2.2,2.3,2.6,,53.1,54.5,59.0,49.8,,"2,200.6","2,328.5","2,683.8","2,267.4",,2.3,2.4,2.6,2.7,,49.4,58.4,53.2,48.8,,236.1,296.8,302.5,277.0,,2.6,2.7,2.7,2.7,,58.8,58.0,63.3,54.5,,"3,438.4","3,459.5","3,834.0","3,349.9",,2.2,2.2,2.5,2.7
,,Querétaro,27.7,25.9,30.3,20.9,,191.8,190.9,226.2,158.5,,2.0,2.0,2.1,2.3,,30.6,26.6,31.8,22.0,,448.4,413.5,524.2,378.3,,1.9,2.0,2.0,2.1,,36.5,32.7,39.6,27.4,,251.1,239.8,282.7,191.5,,1.8,1.8,1.9,2.1,,26.5,23.4,27.8,19.4,,389.1,364.7,467.7,345.3,,2.0,2.1,2.1,2.2,,33.4,30.9,28.4,22.7,,47.5,49.1,55.0,45.8,,2.2,2.3,2.1,2.2,,29.4,26.0,31.6,21.6,,592.7,555.4,695.5,491.0,,1.9,1.9,2.0,2.2
,,Quintana Roo,30.5,28.5,48.4,26.2,,167.4,166.0,286.3,154.6,,2.3,2.5,2.5,2.5,,32.2,31.0,47.1,27.3,,370.4,380.4,606.5,362.3,,2.3,2.4,2.3,2.6,,39.5,39.1,56.2,35.1,,217.9,221.7,312.9,185.6,,2.3,2.2,2.3,2.5,,27.9,26.1,43.8,23.9,,319.9,324.7,580.0,331.4,,2.3,2.5,2.4,2.6,,40.3,36.4,45.2,25.9,,34.3,28.9,49.5,34.1,,2.4,2.9,2.4,2.4,,31.2,29.9,47.6,27.0,,503.6,517.5,843.4,482.9,,2.3,2.4,2.4,2.6
,,San Luis Potosí,43.6,39.7,41.4,33.8,,389.7,348.6,366.9,289.6,,2.2,2.1,2.3,2.8,,44.4,43.1,43.5,36.3,,828.2,830.9,847.0,730.8,,2.2,2.1,2.3,2.6,,50.7,47.6,48.6,43.2,,470.4,442.2,428.5,369.4,,2.0,2.0,2.1,2.5,,40.8,39.3,40.2,32.3,,747.6,737.4,785.5,651.0,,2.3,2.2,2.4,2.7,,47.5,51.1,45.8,35.3,,110.2,132.4,132.2,104.4,,2.5,2.5,2.7,2.6,,43.8,41.1,42.5,35.5,,"1,107.8","1,047.1","1,081.7",915.9,,2.2,2.1,2.3,2.6
,,Sinaloa,30.1,31.1,28.9,22.6,,269.0,289.2,258.8,208.1,,2.2,2.1,2.2,2.4,,30.6,30.9,27.7,21.2,,626.7,638.8,595.1,460.1,,2.1,2.2,2.0,2.3,,36.7,37.7,33.8,28.7,,348.3,338.8,295.0,246.7,,2.1,2.0,2.1,2.4,,27.5,28.1,25.8,18.9,,547.5,589.2,558.9,421.5,,2.1,2.2,2.1,2.4,,34.2,31.6,26.0,18.7,,86.8,89.6,78.9,60.7,,2.0,2.2,1.9,2.0,,30.1,30.9,28.3,22.0,,808.9,838.3,774.9,607.5,,2.1,2.1,2.1,2.4
,,Sonora,27.3,27.6,30.8,22.4,,230.4,245.9,271.4,195.8,,2.1,2.1,2.3,2.4,,26.9,26.3,29.6,21.4,,537.6,528.3,613.6,454.6,,2.0,2.0,2.1,2.1,,33.0,33.7,37.8,28.9,,306.6,301.2,318.5,239.8,,2.0,2.0,2.0,2.1,,24.1,23.5,26.8,18.9,,461.4,473.0,566.6,410.6,,2.1,2.1,2.2,2.3,,29.3,25.1,26.6,18.4,,65.8,59.0,78.5,54.6,,2.0,2.0,2.0,2.1,,26.8,26.8,30.3,22.1,,702.2,715.2,806.6,595.8,,2.1,2.0,2.1,2.2
,,Tabasco,54.4,57.7,55.7,47.1,,396.5,411.0,396.9,333.5,,2.6,2.6,2.7,3.0,,53.6,55.8,54.0,46.2,,859.5,922.2,919.2,801.5,,2.6,2.6,2.6,3.0,,62.8,62.3,62.7,56.0,,495.6,488.9,471.2,421.8,,2.4,2.5,2.5,2.9,,49.3,53.4,50.8,42.2,,760.4,844.3,844.9,713.3,,2.7,2.7,2.7,3.0,,57.5,61.5,47.2,40.3,,85.5,102.9,91.1,81.2,,3.1,3.0,2.7,2.7,,53.6,56.0,55.1,47.0,,"1,170.5","1,230.3","1,225.0","1,053.9",,2.5,2.6,2.6,3.0
